ion	candidate	window	file	bytes	verification
NaCl	LiD3-Flex	window_011_0.93nm	umbrella.xtc	495453884	finished_mdrun+final_gro+critical_sha256
NaCl	LiD3-Flex	window_008_0.71nm	umbrella_eq.xtc	124050164	finished_mdrun+final_gro+critical_sha256
NaCl	LiD3-Flex	window_008_0.71nm	umbrella.xtc	495453964	finished_mdrun+final_gro+critical_sha256
NaCl	LiD3-Flex	window_020_1.61nm	umbrella_eq.xtc	124050220	finished_mdrun+final_gro+critical_sha256
NaCl	LiD3-Flex	window_020_1.61nm	umbrella.xtc	495455300	finished_mdrun+final_gro+critical_sha256
NaCl	LiD3-Flex	window_023_1.83nm	umbrella_eq.xtc	124048808	finished_mdrun+final_gro+critical_sha256
NaCl	LiD3-Flex	window_023_1.83nm	umbrella.xtc	495454852	finished_mdrun+final_gro+critical_sha256
NaCl	LiD3-Flex	window_007_0.63nm	umbrella_eq.xtc	124049384	finished_mdrun+final_gro+critical_sha256
NaCl	LiD3-Flex	window_007_0.63nm	umbrella.xtc	495453936	finished_mdrun+final_gro+critical_sha256
NaCl	LiD3-Flex	window_019_1.53nm	umbrella_eq.xtc	124049648	finished_mdrun+final_gro+critical_sha256
NaCl	LiD3-Flex	window_019_1.53nm	umbrella.xtc	495454488	finished_mdrun+final_gro+critical_sha256
NaCl	LiD3-Flex	window_009_0.78nm	umbrella_eq.xtc	124049320	finished_mdrun+final_gro+critical_sha256
NaCl	LiD3-Flex	window_009_0.78nm	umbrella.xtc	495454644	finished_mdrun+final_gro+critical_sha256
NaCl	LiD3-Flex	window_018_1.46nm	umbrella_eq.xtc	124049800	finished_mdrun+final_gro+critical_sha256
NaCl	LiD3-Flex	window_018_1.46nm	umbrella.xtc	495454904	finished_mdrun+final_gro+critical_sha256
NaCl	LiD3-Flex	window_017_1.38nm	umbrella_eq.xtc	124048680	finished_mdrun+final_gro+critical_sha256
NaCl	LiD3-Flex	window_017_1.38nm	umbrella.xtc	495453516	finished_mdrun+final_gro+critical_sha256
NaCl	LiD3-Flex	window_013_1.08nm	umbrella_eq.xtc	124049256	finished_mdrun+final_gro+critical_sha256
NaCl	LiD3-Flex	window_013_1.08nm	umbrella.xtc	495455052	finished_mdrun+final_gro+critical_sha256
NaCl	LiD3-Flex	window_006_0.56nm	umbrella_eq.xtc	124050208	finished_mdrun+final_gro+critical_sha256
NaCl	LiD3-Flex	window_006_0.56nm	umbrella.xtc	495454828	finished_mdrun+final_gro+critical_sha256
NaCl	LiD3-Flex	window_010_0.86nm	umbrella_eq.xtc	124049308	finished_mdrun+final_gro+critical_sha256
NaCl	LiD3-Flex	window_010_0.86nm	umbrella.xtc	495454984	finished_mdrun+final_gro+critical_sha256
NaCl	LiD3-Flex	window_004_0.41nm	umbrella_eq.xtc	124049440	finished_mdrun+final_gro+critical_sha256
NaCl	LiD3-Flex	window_004_0.41nm	umbrella.xtc	495455216	finished_mdrun+final_gro+critical_sha256
NaCl	LiD3-Core	window_008_1.02nm	umbrella_eq.xtc	79865132	finished_mdrun+final_gro+critical_sha256
NaCl	LiD3-Core	window_008_1.02nm	umbrella.xtc	318985196	finished_mdrun+final_gro+critical_sha256
NaCl	LiD3-Core	window_001_0.50nm	umbrella_eq.xtc	79865560	finished_mdrun+final_gro+critical_sha256
NaCl	LiD3-Core	window_001_0.50nm	umbrella.xtc	318984992	finished_mdrun+final_gro+critical_sha256
NaCl	LiD3-Core	window_010_1.17nm	umbrella_eq.xtc	79865632	finished_mdrun+final_gro+critical_sha256
NaCl	LiD3-Core	window_010_1.17nm	umbrella.xtc	318985828	finished_mdrun+final_gro+critical_sha256
NaCl	LiD3-Core	window_002_0.57nm	umbrella_eq.xtc	79865788	finished_mdrun+final_gro+critical_sha256
NaCl	LiD3-Core	window_002_0.57nm	umbrella.xtc	318984856	finished_mdrun+final_gro+critical_sha256
NaCl	LiD3-Core	window_004_0.72nm	umbrella_eq.xtc	79865772	finished_mdrun+final_gro+critical_sha256
NaCl	LiD3-Core	window_004_0.72nm	umbrella.xtc	318984856	finished_mdrun+final_gro+critical_sha256
NaCl	LiD3-Core	window_012_1.32nm	umbrella_eq.xtc	79865672	finished_mdrun+final_gro+critical_sha256
NaCl	LiD3-Core	window_012_1.32nm	umbrella.xtc	318985372	finished_mdrun+final_gro+critical_sha256
NaCl	LiD3-Core	window_006_0.87nm	umbrella_eq.xtc	79865816	finished_mdrun+final_gro+critical_sha256
